directorio,secuencia_p,orden,clase,mes,p6210,p6920,fex_c,npersug,li,lp,ingreso_lab_persona,arriendo,ingreso_nolab_persona,informal,ingreso_lab_person_informal,ingreso_lab_hog,ingreso_nolab_hog,ingreso_lab_hog_informal,informal_hog,porcen_informalidad,ingreso_nolab_hog_arr,ingpcug_escenarios,pobre_escenarios,max_educacion,categoria_edu
4804920.0,1.0,1.0,1,1.0,4.0,2.0,43.80513067729762,3.0,144337.0386,324974.42396936,150000.0,0.0,50000.0,1.0,150000.0,150000.0,50000.0,150000.0,1.0,100.0,50000.0,66666.664,1.0,4.0,Bajo
4804920.0,1.0,3.0,1,1.0,2.0,,43.80513067729762,3.0,144337.0386,324974.42396936,0.0,0.0,0.0,0.0,0.0,150000.0,50000.0,150000.0,1.0,100.0,50000.0,66666.664,1.0,4.0,Bajo
4804920.0,1.0,2.0,1,1.0,4.0,,43.80513067729762,3.0,144337.0386,324974.42396936,0.0,0.0,0.0,0.0,0.0,150000.0,50000.0,150000.0,1.0,100.0,50000.0,66666.664,1.0,4.0,Bajo
4805083.0,1.0,4.0,1,1.0,3.0,,264.479461965241,4.0,170410.3565,447526.074963947,0.0,0.0,0.0,0.0,0.0,1506000.0,0.0,150000.0,1.0,9.960159,0.0,376500.0,1.0,6.0,Alto
4805083.0,1.0,3.0,1,1.0,4.0,,264.479461965241,4.0,170410.3565,447526.074963947,0.0,0.0,0.0,0.0,0.0,1506000.0,0.0,150000.0,1.0,9.960159,0.0,376500.0,1.0,6.0,Alto
4805083.0,1.0,2.0,1,1.0,6.0,2.0,264.479461965241,4.0,170410.3565,447526.074963947,150000.0,0.0,0.0,1.0,150000.0,1506000.0,0.0,150000.0,1.0,9.960159,0.0,376500.0,1.0,6.0,Alto
4805083.0,1.0,1.0,1,1.0,5.0,1.0,264.479461965241,4.0,170410.3565,447526.074963947,1356000.0,0.0,0.0,0.0,0.0,1506000.0,0.0,150000.0,1.0,9.960159,0.0,376500.0,1.0,6.0,Alto
4805306.0,1.0,2.0,1,1.0,4.0,,25.456946753679045,4.0,139391.7072,353437.820954533,0.0,0.0,0.0,0.0,0.0,3466666.625,0.0,0.0,0.0,0.0,0.0,866666.6,0.0,6.0,Alto
4805306.0,1.0,3.0,1,1.0,3.0,,25.456946753679045,4.0,139391.7072,353437.820954533,0.0,0.0,0.0,0.0,0.0,3466666.625,0.0,0.0,0.0,0.0,0.0,866666.6,0.0,6.0,Alto
4805306.0,1.0,1.0,1,1.0,6.0,1.0,25.456946753679045,4.0,139391.7072,353437.820954533,1950000.0,0.0,0.0,0.0,0.0,3466666.625,0.0,0.0,0.0,0.0,0.0,866666.6,0.0,6.0,Alto
4805306.0,1.0,4.0,1,1.0,6.0,1.0,25.456946753679045,4.0,139391.7072,353437.820954533,1516666.6,0.0,0.0,0.0,0.0,3466666.625,0.0,0.0,0.0,0.0,0.0,866666.6,0.0,6.0,Alto
4805354.0,1.0,2.0,1,1.0,5.0,2.0,20.793114411855147,5.0,168976.6891,430671.725781873,800000.0,0.0,0.0,1.0,800000.0,2150000.0,0.0,2150000.0,4.0,100.0,0.0,430000.0,1.0,6.0,Alto
4805354.0,1.0,4.0,1,1.0,5.0,2.0,20.793114411855147,5.0,168976.6891,430671.725781873,0.0,0.0,0.0,1.0,0.0,2150000.0,0.0,2150000.0,4.0,100.0,0.0,430000.0,1.0,6.0,Alto
4805354.0,1.0,1.0,1,1.0,4.0,2.0,20.793114411855147,5.0,168976.6891,430671.725781873,1350000.0,0.0,0.0,1.0,1350000.0,2150000.0,0.0,2150000.0,4.0,100.0,0.0,430000.0,1.0,6.0,Alto
4805354.0,1.0,5.0,1,1.0,3.0,,20.793114411855147,5.0,168976.6891,430671.725781873,0.0,0.0,0.0,0.0,0.0,2150000.0,0.0,2150000.0,4.0,100.0,0.0,430000.0,1.0,6.0,Alto
4805354.0,1.0,3.0,1,1.0,6.0,2.0,20.793114411855147,5.0,168976.6891,430671.725781873,0.0,0.0,0.0,1.0,0.0,2150000.0,0.0,2150000.0,4.0,100.0,0.0,430000.0,1.0,6.0,Alto
4805417.0,1.0,2.0,1,1.0,6.0,2.0,10.01634212997119,2.0,168976.6891,430671.725781873,3000000.0,0.0,0.0,1.0,3000000.0,5250000.0,0.0,3000000.0,1.0,57.142857,0.0,2625000.0,0.0,6.0,Alto
